customer_id,customer_name,place,time_ago,product,times_added,risk_score,risk_level,coupon_code,coupon_percent,final_status,revenue
C0000,Priya Sharma,Delhi,23min ago,Black Festive Set,2,62,MEDIUM,SAVE12,12,RECOVERED,2800
C0001,Sneha Roy,Lucknow,2hr ago,Blue Kurta Set,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0002,Riya Singh VIP,Ghaziabad VIP,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,2800
C0003,Rohan Kumar,Mumbai,30min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2499
C0004,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,2800
C0005,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,1899
C0006,Priya Sharma,Delhi,23min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0007,Priya Sharma,Delhi,23min ago,Blue Kurta Set,4,92,HIGH,VIP5,5,RECOVERED,1999
C0008,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,4,92,HIGH,VIP5,5,RECOVERED,4250
C0009,Sneha Roy,Lucknow,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,4250
C0010,Neha Verma,Jaipur,5hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,3200
C0011,Priya Sharma,Delhi,23min ago,Blue Kurta Set,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0012,Sneha Roy,Lucknow,2hr ago,Black Festive Set,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0013,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,2800
C0014,Rohan Kumar,Mumbai,30min ago,Red Kurta,4,92,HIGH,VIP5,5,RECOVERED,2800
C0015,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2800
C0016,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,1,18,LOW,FESTIVE15,15,RECOVERED,3200
C0017,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1899
C0018,Neha Verma,Jaipur,5hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1999
C0019,Riya Singh VIP,Ghaziabad VIP,2hr ago,Lehenga Choli Festive,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0020,Rohan Kumar,Mumbai,30min ago,Red Kurta,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0021,Riya Singh VIP,Ghaziabad VIP,2hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2499
C0022,Anjali Gupta,Noida,1hr ago,Green Saree,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0023,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0024,Sneha Roy,Lucknow,2hr ago,Black Festive Set,2,62,MEDIUM,SAVE12,12,RECOVERED,3200
C0025,Rohan Kumar,Mumbai,30min ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1899
